Library ,Request,Multiplex,ID,Sample,Background,Tissue/ Cell-type
5/30/17,4966,4677,52625,dat-1:HEN1 repl 1 (MLC776) Treatment,WT,Dopaminergic neurons
5/30/17,4966,4677,52626,dat-1:HEN1 repl 4 (MLC777) No Treatment,WT,Dopaminergic neurons
5/30/17,4966,4677,52627,dat-1:HEN1 repl 4 (MLC777) Treatment,WT,Dopaminergic neurons
5/30/17,4966,4677,52628,eat-4:HEN1 repl 2 (MLC783) No Treatment,WT,Glutamatergic neurons
5/30/17,4966,4677,52629,eat-4:HEN1 repl 2 (MLC783) Treatment,WT,Glutamatergic neurons
5/30/17,4966,4677,52630,eat-4:HEN1 repl 4 (MLC784) No Treatment,WT,Glutamatergic neurons
5/30/17,4966,4677,52631,eat-4:HEN1 repl 4 (MLC784) Treatment,WT,Glutamatergic neurons
5/30/17,4966,4677,52632,osm-5:HEN1 repl 4 (MLC785) No Treatment,WT,Ciliated sensory neurons
5/30/17,4966,4677,52633,osm-5:HEN1 repl 4 (MLC785) Treatment,WT,Ciliated sensory neurons
5/30/17,4966,4677,52634,osm-5:HEN1 repl 11 (MLC786) No Treatment,WT,Ciliated sensory neurons
5/30/17,4966,4677,52635,osm-5:HEN1 repl 11 (MLC786) Treatment,WT,Ciliated sensory neurons
5/30/17,4966,4677,52636,unc-47:HEN1 repl 5 (MLC815) No Treatment,WT,GABAergic neurons
5/30/17,4966,4677,52637,unc-47:HEN1 repl 5 (MLC815) Treatment,WT,GABAergic neurons
5/30/17,4966,4677,52638,unc-47:HEN1 repl 7 (MLC816) No Treatment,WT,GABAergic neurons
5/30/17,4966,4677,52639,unc-47:HEN1 repl 7 (MLC816) Treatment,WT,GABAergic neurons
,,,,,,
,,,,,,
10/19/17,5410,5124,57745,OS11028 pan-glia HEN1 No treatment,WT,Glial cells
10/19/17,5410,5124,57746,OS11028 pan-glia HEN1 Treatment,WT,Glial cells
10/19/17,5410,5124,57747,OS11358 CEPsh HEN1 No treatment,WT,Subset of glial cells (CEPsh)
10/19/17,5410,5124,57748,OS11358 CEPsh HEN1 Treatment,WT,Subset of glial cells (CEPsh)
10/19/17,5410,5124,57749,OS11359 CEPsh HEN1 No treatment,WT,Subset of glial cells (CEPsh)
10/19/17,5410,5124,57750,OS11359 CEPsh HEN1 Treatment,WT,Subset of glial cells (CEPsh)
,,,,,,
,,,,,,
10/31/17,5449,5167,58078,mec-3:HEN1 repl 4 (MLC833) No treatment,WT,mechanosensory neurons
10/31/17,5449,5167,58079,mec-3:HEN1 repl 4 (MLC833) Treatment,WT,mechanosensory neurons
10/31/17,5449,5167,58080,mec-3:HEN1 repl 6 (MLC834) No treatment,WT,mechanosensory neurons
10/31/17,5449,5167,58081,mec-3:HEN1 repl 6 (MLC834) Treatment,WT,mechanosensory neurons
10/31/17,5449,5167,58082,unc-86:HEN1 repl 6 (MLC830) No treatment,WT,unc-86 expressing neurons (unc-86 is a transcription factor)
10/31/17,5449,5167,58083,unc-86:HEN1 repl 6 (MLC830) Treatment,WT,unc-86 expressing neurons (unc-86 is a transcription factor)
10/31/17,5449,5167,58084,unc-86:HEN1 repl 7 (MLC831) No treatment,WT,unc-86 expressing neurons (unc-86 is a transcription factor)
10/31/17,5449,5167,58085,unc-86:HEN1 repl 7 (MLC831) Treatment,WT,unc-86 expressing neurons (unc-86 is a transcription factor)
,,,,,,
,,,,,,
2/5/18,5771,5530,61513,ehs-1-linker:HEN1 repl 11.6 (MLC1371) No treatment,WT,pharyngeal neurons
2/5/18,5771,5530,61514,ehs-1-linker:HEN1 repl 11.6 (MLC1371) Treatment,WT,pharyngeal neurons
2/5/18,5771,5530,61681,ehs-1-linker:HEN1 repl 3.6 (MLC1366) No treatment,WT,pharyngeal neurons
2/5/18,5771,5530,61516,ehs-1-linker:HEN1 repl 3.6 (MLC1366) Treatment,WT,pharyngeal neurons
2/5/18,5771,5530,61682,unc-17:HEN1 repl 4.1 (MLC1148) No treatment,WT,cholinergic neurons
2/5/18,5771,5530,61683,unc-17:HEN1 repl 4.1 (MLC1148) Treatment,WT,cholinergic neurons
2/5/18,5771,5530,61519,unc-17:HEN1 repl 10 (MLC1147) No treatment,WT,cholinergic neurons
2/5/18,5771,5530,61684,unc-17:HEN1 repl 10 (MLC1147) Treatment,WT,cholinergic neurons
,,,,,,
